Mercedes-Benz,W201,1987
Ford,E-Series,1992
Dodge,Ram Van B350,1992
Suzuki,Samurai,1992
Dodge,Ram,2003
Toyota,Camry,2001
Ford,Windstar,1998
Mercury,Tracer,1988
Cadillac,Seville,1993
Oldsmobile,Silhouette,1996
Mitsubishi,Pajero,1991
Chevrolet,Corvette,1998
Ford,Escort,1995
Lincoln,Blackwood,2003
Mazda,626,1986
Kia,Optima,2006
Cadillac,Eldorado,2001
Ford,Transit Connect,2011
Toyota,RAV4,2001
Acura,Integra,1995
Subaru,Impreza,2010
Ford,Courier,1986
Morgan,Aero 8,2006
Mazda,Mazda2,2011
BMW,M3,2010
Dodge,Ram Van 1500,2003
Subaru,Legacy,1998
Buick,Somerset,1987
Ford,LTD Crown Victoria,1988
Ford,F150,2003
Volvo,S80,2011
Mercedes-Benz,E-Class,2008
Lexus,LX,2004
Mercedes-Benz,CL-Class,2004
Toyota,Paseo,1992
Kia,Forte,2011
Ford,F150,2011
Suzuki,SJ,1991
BMW,7 Series,1992
Toyota,Corolla,1997
Volvo,S80,2009
GMC,2500,1994
Lexus,LS,2010
Saab,9000,1998
Toyota,Yaris,2007
Mercedes-Benz,SLK-Class,2002
Lincoln,Continental,1992
Lexus,SC,2002
Suzuki,Grand Vitara,2012
Suzuki,Kizashi,2012
